Date,SPY_Close,SPY_Volume,AGG_Close,AGG_Volume,QQQ_Close,QQQ_Volume,VNQ_Close,VNQ_Volume,IWM_Close,IWM_Volume,VIG_Close,VIG_Volume,IEF_Close,IEF_Volume
2015-05-15,181.01634216308594,76510100,88.36947631835938,1047500,102.1123275756836,23937400,56.45649719238281,4390600,109.58995819091797,22055600,68.84371948242188,579700,90.3350601196289,854900
2015-05-18,181.57870483398438,74549700,88.03271484375,863900,102.55958557128906,17631100,56.31028747558594,3450200,110.83077239990234,30846000,68.96925354003906,497600,89.72562408447266,1000400
2015-05-19,181.51905822753906,72114600,87.72795104980469,1664400,102.44779968261719,14212900,56.115352630615234,2784700,110.6800765991211,23256800,68.86885833740234,537600,89.32778930664062,1240400
2015-05-20,181.3912811279297,76857500,87.86431121826172,1584100,102.5130386352539,21131900,56.06661605834961,3427400,110.88394927978516,20838500,68.71826934814453,702400,89.5224609375,1682600
2015-05-21,181.91954040527344,64764600,88.13690185546875,2652600,103.04419708251953,16771800,55.80206298828125,2667800,110.75984954833984,16229300,68.8604507446289,485900,90.05570983886719,836700
2015-05-22,181.48497009277344,57433500,88.04070281982422,1087000,102.94166564941406,13543800,55.7324333190918,4067500,110.28125,22601400,68.54259490966797,544100,89.85254669189453,852300
2015-05-26,179.53369140625,124308600,88.25724792480469,2775000,101.7582015991211,25488400,55.30772018432617,3041700,109.22657775878906,44037800,67.89839935302734,710400,90.41120147705078,1925600
2015-05-27,181.2378387451172,93214000,88.34542846679688,888700,103.39828491210938,30572700,55.85080337524414,2978600,110.56485748291016,32086300,68.48399353027344,630600,90.36038208007812,1015000
2015-05-28,181.03330993652344,74974600,88.3133544921875,1298900,103.1653060913086,17302400,55.73939895629883,2772000,110.46736907958984,18631900,68.38360595703125,400600,90.44501495361328,1068200
2015-05-29,179.9086151123047,124919600,88.34542846679688,2780300,102.55029296875,30383000,55.098873138427734,4786500,109.80265045166016,33468900,67.8230972290039,508200,90.49583435058594,1148500
2015-06-01,180.27500915527344,93338800,88.10120391845703,4327300,102.89507293701172,24570200,55.77421569824219,4464400,110.14830780029297,35649400,67.92346954345703,1032000,90.09648895263672,2161700
2015-06-02,180.09605407714844,91531000,87.75575256347656,1830400,102.56893920898438,19449600,55.259002685546875,3313200,110.36101531982422,29477600,67.86491394042969,466900,89.46923065185547,1484500
2015-06-03,180.5731964111328,87820900,87.4102783203125,3413100,102.87643432617188,20507200,54.46531677246094,3886000,111.46002960205078,30774800,68.05732727050781,740800,88.70626831054688,1703400
2015-06-04,179.04800415039062,151882800,87.59506225585938,1907900,102.09367370605469,31374600,54.360877990722656,3710100,110.34329223632812,25820600,67.39642333984375,558200,89.13861846923828,1594800
2015-06-05,178.74127197265625,121704700,87.20943450927734,1619000,101.85140228271484,22641700,53.755157470703125,6141000,111.14096069335938,36626500,67.11199188232422,513700,88.4942855834961,1384900
2015-06-08,177.64205932617188,89063300,87.33798217773438,1289700,100.81702423095703,24549200,53.65770721435547,3347100,110.62689971923828,18798700,66.75224304199219,571600,88.6214828491211,877800
2015-06-09,177.6165008544922,105034700,87.08893585205078,1206700,100.64932250976562,27554600,53.26780700683594,4604500,110.29013061523438,23928300,66.78571319580078,520400,88.333251953125,822400
2015-06-10,179.74668884277344,134551300,86.87198638916016,1491200,102.0284423828125,30297900,53.64377212524414,4332000,111.66386413574219,42563500,67.59720611572266,577300,87.99413299560547,967000
2015-06-11,180.32611083984375,73876400,87.33798217773438,1539600,102.17755126953125,17593500,53.97099685668945,9411000,111.94747924804688,17489400,67.85653686523438,556000,88.6893081665039,3069700
2015-06-12,178.94570922851562,135382400,87.23350524902344,1365900,101.3388900756836,27201800,53.9222526550293,3125500,111.61067962646484,23578600,67.40476989746094,680700,88.63839721679688,1578100
2015-06-15,178.17886352539062,124384200,87.33798217773438,1666600,100.83567810058594,31238800,53.629852294921875,3565200,111.25617218017578,30618300,66.92794799804688,661800,88.85041809082031,1478800
2015-06-16,179.15023803710938,85308200,87.4826431274414,1309900,101.38548278808594,16456900,54.06148910522461,5474800,112.04496765136719,32800900,67.35456848144531,594200,89.18946838378906,779000
2015-06-17,179.43994140625,126708600,87.49061584472656,1895700,101.66503143310547,23296700,54.52101135253906,3922300,111.87659454345703,32467000,67.53865814208984,717100,89.2403335571289,1994000
2015-06-18,181.30604553222656,165867900,87.4665298461914,2917400,103.14669036865234,43032400,55.272926330566406,5616900,113.37439727783203,39642100,68.2916030883789,584000,89.17251586914062,1481600
2015-06-19,180.50120544433594,130478700,87.73970031738281,2048500,102.63672637939453,27877600,54.84823989868164,5986300,113.32124328613281,23310900,67.98202514648438,446700,89.64723205566406,1849600
2015-06-22,181.42587280273438,70696000,87.30587768554688,1173800,103.39325714111328,19120900,54.28429412841797,3898700,114.10118865966797,25230000,68.25813293457031,558800,88.89276885986328,860300
2015-06-23,181.5543212890625,68476800,87.10498046875,1339000,103.4773178100586,18127900,53.83173370361328,2933200,114.34049224853516,23378500,68.14936828613281,433600,88.6214828491211,925000
2015-06-24,180.2357177734375,92307300,87.24156951904297,1527800,102.9449234008789,15815900,53.539329528808594,3900200,113.37439727783203,26436800,67.55536651611328,543300,88.8842544555664,1176500
2015-06-25,179.68777465820312,97107400,87.14515686035156,1222000,102.73946380615234,18326700,52.99629592895508,4820600,113.31237030029297,24100900,67.27928924560547,471700,88.66387939453125,919800
2015-06-26,179.6534881591797,104174800,86.93628692626953,1054900,102.05762481689453,32311700,53.3774528503418,3789500,113.0021743774414,38219900,67.37352752685547,502400,88.24002075195312,1441500
2015-06-29,175.88609313964844,202621300,87.4504623413086,3278900,99.64794158935547,50874900,52.54759979248047,5112000,110.14830780029297,49224900,66.09484100341797,941200,89.26577758789062,1500900
2015-06-30,176.2543182373047,182925100,87.3941879272461,2159500,100.00284576416016,34809900,52.526485443115234,5855900,110.66234588623047,39631300,66.1032485961914,787000,89.01994323730469,1599400
2015-07-01,177.6670379638672,135979900,87.17369079589844,6010300,100.7967529296875,21293000,53.391517639160156,6318900,110.99028015136719,28627700,66.75101470947266,597700,88.55463409423828,3738800
2015-07-02,177.50436401367188,104373700,87.2944107055664,994600,100.82476806640625,20499400,53.52512741088867,4303700,110.1705551147461,31486400,66.70054626464844,746500,88.8687744140625,1924600
