Date,Close_US1M
2020-06-16,0.139
2020-06-15,0.162
2020-06-12,0.144
2020-06-11,0.119
2020-06-10,0.132
2020-06-09,0.139
2020-06-08,0.137
2020-06-05,0.134
2020-06-04,0.122
2020-06-03,0.124
2020-06-02,0.122
2020-06-01,0.122
2020-05-29,0.129
2020-05-28,0.129
2020-05-27,0.106
2020-05-26,0.099
2020-05-25,0.129
2020-05-22,0.096
2020-05-21,0.081
2020-05-20,0.081
2020-05-19,0.091
2020-05-18,0.091
2020-05-15,0.094
2020-05-14,0.084
2020-05-13,0.086
2020-05-12,0.099
2020-05-11,0.101
2020-05-08,0.096
2020-05-07,0.084
2020-05-06,0.086
2020-05-05,0.094
2020-05-04,0.094
2020-05-01,0.101
2020-04-30,0.089
2020-04-29,0.084
2020-04-28,0.086
2020-04-27,0.096
2020-04-24,0.096
2020-04-23,0.089
2020-04-22,0.081
2020-04-21,0.081
2020-04-20,0.094
2020-04-17,0.132
2020-04-16,0.094
2020-04-15,0.134
2020-04-14,0.17
2020-04-13,0.162
2020-04-09,0.183
2020-04-08,0.119
2020-04-07,0.066
2020-04-06,0.076
2020-04-03,0.109
2020-04-02,0.061
2020-04-01,0.041
2020-03-31,0.038
2020-03-30,0.028
2020-03-27,0.013
2020-03-26,-0.035
2020-03-25,-0.041
2020-03-24,0.008
2020-03-23,0.005
2020-03-20,0.025
2020-03-19,0.028
2020-03-18,0.053
2020-03-17,0.086
2020-03-16,0.203
2020-03-13,0.39
2020-03-12,0.347
2020-03-11,0.439
2020-03-10,0.563
2020-03-09,0.591
2020-03-06,0.786
2020-03-05,0.898
2020-03-04,1.007
2020-03-03,1.124
2020-03-02,1.424
2020-02-28,1.444
2020-02-27,1.537
2020-02-26,1.58
2020-02-25,1.59
2020-02-24,1.598
2020-02-21,1.601
2020-02-20,1.595
2020-02-19,1.603
2020-02-18,1.608
2020-02-17,1.593
2020-02-14,1.593
2020-02-13,1.578
2020-02-12,1.567
2020-02-11,1.573
2020-02-10,1.578
2020-02-07,1.578
2020-02-06,1.552
2020-02-05,1.55
2020-02-04,1.542
2020-02-03,1.568
2020-01-31,1.568
2020-01-30,1.532
2020-01-29,1.524
2020-01-28,1.522
2020-01-27,1.527
2020-01-24,1.537
2020-01-23,1.534
2020-01-22,1.524
2020-01-21,1.519
